stop_id,stop_name,stop_lat,stop_lon,agency
3001843,Belcrest Road at Queens Chapel Road,38.964213,-76.95292,TheBus
3001816,QUEENS CHAPEL RD + OLIVER ST,38.963121,-76.952882,TheBus
3004356,Queens Chapel Road at Nicholson Street,38.960808,-76.955689,TheBus
3002684,Queens Chapel Road at Opp. 5805 Queens Chapel Road,38.959636,-76.957142,TheBus
3001703,Queens Chapel Road at Lancer Drive,38.957469,-76.959893,TheBus
3001645,Hamilton Street at 36th Avenue,38.954362,-76.958716,TheBus
3001637,Hamilton Street at Opp. 37th Avenue,38.953723,-76.956468,TheBus
3001625,Hamilton Street at 38th Avenue,38.953359,-76.955269,TheBus
3001619,38th Street at Hamilton Street,38.952854,-76.954994,TheBus
3001583,38th Street at Gaines Alley,38.950138,-76.95606,TheBus
10034,Greenbelt Rd+Cherrywood Ln,38.998009,-76.911629,WMATA
10036,Baltimore Av+Metzerott Rd,38.998047,-76.931625,WMATA
10040,Greenbelt Rd+Branchville Rd,38.998188,-76.91378,WMATA
10041,Greenbelt Rd+48 Av,38.998207,-76.929352,WMATA
10043,Greenbelt Rd+48 Av,38.998329,-76.928749,WMATA
10049,Rhode Island Av+University Bl,38.998562,-76.92543,WMATA
10072,Cherrywood Ln+Greenbelt Rd,38.999348,-76.911606,WMATA
10077,Cherrywood Ln+#5510,38.999489,-76.911797,WMATA
10085,Rhode Island Av+University Bl,38.999741,-76.925301,WMATA
10110,Baltimore Av+University Bl,39.000881,-76.931091,WMATA
10112,Rhode Island Av+Apache St,39.00095,-76.924835,WMATA
10147,Rhode Island Av+Cherokee St,39.002369,-76.924454,WMATA
10163,Rhode Island Av+Cherokee St,39.002842,-76.924423,WMATA
10174,Baltimore Av+Cherokee St,39.003704,-76.930481,WMATA
10177,Baltimore Av+Cherokee St,39.004261,-76.930534,WMATA
10222,Rhode Island Av+Fox St,39.005867,-76.923508,WMATA
10234,Rhode Island Av+Fox St,39.006363,-76.923492,WMATA
10236,Baltimore Av+Erie St,39.006683,-76.929764,WMATA
10239,Baltimore Av+Erie St,39.006794,-76.929848,WMATA
10280,Rhode Island Av+Kenesaw St,39.008472,-76.922836,WMATA
10282,Baltimore Av+Indian Ln,39.008526,-76.92926,WMATA
10288,Baltimore Av+Indian Ln,39.008682,-76.929344,WMATA
10292,Rhode Island Av+Kenesaw St,39.008949,-76.922783,WMATA
10315,Rhode Island Av+Hollywood Rd,39.010582,-76.922318,WMATA
10318,Rhode Island Av+Hollywood Rd,39.010757,-76.922241,WMATA
10327,Baltimore Av+Hollywood Rd,39.011299,-76.928444,WMATA
10331,Baltimore Av+Hollywood Rd,39.01162,-76.92852,WMATA
10350,Rhode Island Av+Muskogee St,39.013668,-76.921494,WMATA
10353,Baltimore Av+Cherry Hill Rd,39.013794,-76.927956,WMATA
10354,Rhode Island Av+Muskogee St,39.013798,-76.92141,WMATA
10359,Baltimore Av+Cherry Hill Rd,39.014565,-76.927574,WMATA
10367,Edgewood Rd+49 Av,39.015945,-76.924301,WMATA
10368,Seven Springs Vil+#9316,39.015877,-76.939232,WMATA
10370,Edgewood Rd+Rhode Island Av,39.015976,-76.921288,WMATA
10371,Edgewood Rd+49 Av,39.016029,-76.924385,WMATA
