UMPD Case Number,Address
2024-00205550,8200 block of Baltimore Ave
2024-00205835,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00206049,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00206234,4200 block of Chapel Ln
2024-00206282,Yahentamitsi at 4136 Stadium Dr
2024-00206415,8100 block of La Plata Dr
2024-00206445,"Atlantic Building, Computer & Space Sciences Building at 4254 Stadium Dr"
2024-00207050,4300 block of Hartwick Rd
2024-00207217,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00207456,Campus Dr
2024-00207493,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2024-00207527,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
2024-00207539,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00207590,7600 block of Preinkert Dr
2024-00207826,"Capital One Field, Football Stadium, SECU Stadium"
2024-00207871,Lot KK
2024-00208050,"College Park Shopping Center, CVS at 7300 Baltimore Ave"
2024-00208054,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00208102,West Gate at 3841 Stadium Dr
2024-00208160,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2024-00208195,Lot N3
2024-00208261,7300 block of Baltimore Ave
2024-00208270,University Blvd
2024-00208286,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr"
2024-00208369,8000 block of La Plata Dr
2024-00208910,4000 block of Stadium Dr
2024-00208987,7400 block of Princeton Ave
2024-00209002,La Plata Hall at 8160 La Plata Dr
2024-00209008,Clopper Rd / Game Preserve Rd
2024-00209233,4321 Hartwick Rd
2024-00209390,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00209823,8200 block of Paint Branch Dr
2024-00210074,"52, Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration at 7999 Regents Dr"
2024-00210271,Baltimore Ave
2024-00210272,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
2024-00210884,8100 block of La Plata Dr
2024-00210906,7100 block of Preinkert Dr
2024-00211650,"Looney's Pub, The Varsity at 8150 Baltimore Ave"
2024-00211652,Paint Branch Dr
2024-00211670,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00211722,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00211903,Baltimore Ave
2024-00211904,Wb University Blvd Ofrp Nb Adelphi Rd
2024-00212055,3400 block of Tulane Dr
2024-00212247,Johnson-Whittle Hall at 4118 Stadium Dr
2024-00212582,Adelphi Rd
2024-00214016,North Gate at 4306 Campus Dr
2024-00214064,University Blvd
2024-00214132,Lot 4B
2024-00214548,University Blvd
2024-00214561,University Blvd
2024-00214563,University Blvd
2024-00214591,Stadium Dr
2024-00215137,4200 block of Valley Dr
2024-00215237,7100 block of Preinkert Dr
2024-00215827,8200 block of Paint Branch Dr
2024-00215883,4600 block of College Ave
2024-00215899,Lot A
2024-00215998,"Cole, Cole Field House, Cole Student Activities Building, Driskell Center at 4090 Union Dr"
2024-00216097,La Plata Hall at 8160 La Plata Dr
2024-00216158,4600 block of Drexel Rd
2024-00216249,"Leonardtown #247, Leonardtown at 4713 Rossborough Ln"
2024-00216307,"35, McKeldin Library at 7649 Library Ln"
2024-00216755,Cumberland Hall at 4250 Farm Dr
2024-00216757,"34, Jimenez, Jimenez Hall at 4125 N Library Ln"
2024-00217159,8600 block of Baltimore Ave
2024-00217211,"63, Somerset, Somerset Hall at 7567 Preinkert Dr"
2024-00217217,"99, Bel Air, Bel Air Hall at 4213 Valley Dr"
2024-00217636,6800 block of Preinkert Dr
2024-00217784,Adelphi Rd
2024-00217860,Manokin Building at 5801 University Research Ct
2024-00218048,8700 block of Boteler Ln
2024-00218078,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2024-00218088,"Recreation Artificial Turf Field, Turf Field, Turf Fields"
2024-00218599,Varsity Sports Teamhouse at 4117 Stadium Dr
2024-00218739,"Hornbake, Hornbake Library at 4130 Campus Dr"
2024-00219450,4000 block of Campus Dr
2024-00221945,7800 block of Regents Dr
2024-00221984,Lakeland Rd
2024-00222028,"Architecture, Architecture Building at 3835 Campus Dr"
2025-00000044,Adelphi Rd
2025-00000055,University Blvd
2025-00000056,7500 block of Girard Ave
2025-00000083,7500 block of Baltimore Ave
2025-00000128,Adelphi Rd
2025-00001461,Corporal Frank Scott Dr
2025-00001561,University Blvd
2025-00001764,4100 block of Valley Dr
2025-00002272,University Blvd
2025-00002744,7300 block of Baltimore Ave
2025-00003694,4200 block of Stadium Dr
2025-00003697,7600 block of Regents Dr
2025-00004053,Campus Dr
2025-00004615,Baltimore Ave
2025-00004653,8100 block of Regents Dr
2025-00004663,4300 block of Rowalt Dr
2025-00005348,3900 block of Campus Dr
2025-00005393,4200 block of Valley Dr
2025-00005924,7300 block of Baltimore Ave
2025-00006729,University Blvd
2025-00006794,University Blvd
2025-00006795,7100 block of 51st Ave
2025-00007461,3900 block of Campus Dr
2025-00007726,7300 block of River Rd
2025-00007807,8500 block of Paint Branch Dr
2025-00007896,7400 block of Baltimore Ave
2025-00008368,4200 block of Valley Dr
2025-00008454,8000 block of Regents Dr
2025-00009161,4200 block of Stadium Dr
2025-00009634,University Blvd
2025-00009937,8200 block of Paint Branch Dr
2025-00010536,University Blvd
2025-00010725,7500 block of Mowatt Ln
2025-00011238,Adelphi Rd
2025-00011482,Paint Branch Dr
2025-00011513,7500 block of Baltimore Ave
2025-00011728,Lot 1b
2025-00011954,Knox Rd
2025-00011955,4100 block of Terrapin Trl
2025-00012980,4200 block of Campus Dr
2025-00013355,University Blvd
2025-00013733,7500 block of Baltimore Ave
2025-00013860,Greenbelt Rd
2025-00014079,University Blvd
2025-00014830,University Blvd
2025-00015121,7500 block of Calvert Service Ln
2025-00015146,8400 block of Paint Branch Dr
2025-00015713,3400 block of Tulane Dr
2025-00015847,3900 block of Campus Dr
2025-00016188,4100 block of Valley Dr
2025-00017067,Knox Rd
2025-00017446,4100 block of Stadium Dr
2025-00017747,Lot 2a
2025-00018086,Frat Row
2025-00018143,7700 block of Adelphi Rd
2025-00018324,8400 block of Boteler Ln
2025-00018327,7500 block of Calvert Service Ln
2025-00018436,4200 block of Farm Dr
2025-00019006,4200 block of Valley Dr
2025-00019166,Greenbelt Rd
2025-00019205,4200 block of Campus Dr
2025-00019226,4200 block of Campus Dr
2025-00019356,8200 block of Paint Branch Dr
2025-00019424,4000 block of Campus Dr
2025-00019867,7500 block of Baltimore Ave
2025-00020063,8400 block of Baltimore Ave
2025-00020067,7000 block of Preinkert Dr
2025-00020104,7500 block of Mowatt Ln
2025-00020137,4000 block of Stadium Dr
2025-00020292,4200 block of Valley Dr
2025-00020487,3900 block of Denton Service Ln
2025-00020676,Farm Dr
2025-00020774,8100 block of Paint Branch Dr
2025-00020883,7600 block of Regents Dr
2025-00021120,Princeton Ave
2025-00021239,3900 block of Denton Service Ln
2025-00021486,3800 block of Campus Dr
2025-00021530,4000 block of Union Dr
2025-00021606,4100 block of Campus Dr
2025-00021662,3800 block of Campus Dr
2025-00021672,4000 block of Campus Dr
2025-00021679,3400 block of Tulane Dr
2025-00021922,4100 block of Valley Dr
2025-00022047,8100 block of La Plata Dr
2025-00022189,7500 block of Mowatt Ln
2025-00022462,7600 block of Regents Dr
2025-00022639,4100 block of Campus Dr
2025-00022713,4500 block of Knox Rd
2025-00023011,4100 block of Stadium Dr
2025-00023633,7500 block of Mowatt Ln
2025-00024219,Yale Ave
2025-00024348,3900 block of Denton Service Ln
2025-00024377,3500 block of University Blvd
2025-00024456,4200 block of Stadium Dr
2025-00024534,8100 block of Paint Branch Dr
2025-00024615,4200 block of Chapel Ln
2025-00024644,4300 block of Knox Rd
2025-00025361,8100 block of La Plata Dr
2025-00025424,4200 block of Stadium Dr
2025-00025426,3900 block of Campus Dr
2025-00025479,8000 block of Hagerstown Dr
2025-00025497,7700 block of Alumni Dr
2025-00026274,4100 block of Campus Dr
2025-00026440,4200 block of Campus Dr
2025-00026488,3900 block of Campus Dr
2025-00026981,8100 block of La Plata Dr
2025-00027148,4200 block of Campus Dr
2025-00027279,7600 block of Baltimore Ave
2025-00027304,Lot L
2025-00027520,4000 block of Campus Dr
2025-00027759,Stanford St
2025-00027987,4000 block of Stadium Dr
2025-00028187,7700 block of Alumni Dr
2025-00028334,7400 block of Princeton Ave
2025-00028991,8000 block of Regents Dr
2025-00029172,8100 block of La Plata Dr
2025-00029185,4100 block of Stadium Dr
2025-00029206,7500 block of Calvert Service Ln
2025-00029669,4600 block of Rossborough Ln
2025-00029670,4200 block of Farm Dr
2025-00029737,University Blvd
2025-00029756,4600 block of Hotel Dr
2025-00030115,7500 block of Regents Dr
2025-00030120,8000 block of Hagerstown Dr
2025-00030128,8500 block of Paint Branch Dr
2025-00030333,4000 block of Stadium Dr
2025-00030527,Adelphi Rd
2025-00031095,4100 block of Campus Dr
2025-00031300,4100 block of Stadium Dr
2025-00031401,3900 block of Denton Service Ln
2025-00031428,3900 block of Denton Service Ln
2025-00032211,8500 block of Paint Branch Dr
2025-00032373,4200 block of Valley Dr
2025-00032388,College Ave
2025-00032424,8100 block of La Plata Dr
2025-00032432,3900 block of Denton Service Ln
2025-00032436,7500 block of Baltimore Ave
2025-00032537,7500 block of Calvert Service Ln
2025-00032721,4200 block of Farm Dr
2025-00034247,University Blvd
2025-00034303,4000 block of Stadium Dr
2025-00034306,Adelphi Rd
2025-00034487,7100 block of Preinkert Dr
2025-00034681,4300 block of Knox Rd
2025-00034695,8000 block of Regents Dr
2025-00034986,8200 block of Baltimore Ave
2025-00035052,8100 block of Baltimore Ave
2025-00035547,8400 block of Baltimore Ave
2025-00035900,4300 block of Knox Rd
2025-00035909,Baltimore Ave
2025-00036014,4700 block of Berwyn House Rd
2025-00036018,Adelphi Rd
2025-00036045,3900 block of Denton Service Ln
2025-00036311,8000 block of Boteler Ln
2025-00036351,8500 block of Paint Branch Dr
2025-00036386,Regents Dr
2025-00036436,Lot 11b
2025-00036653,8100 block of La Plata Dr
2025-00036694,7500 block of Mowatt Ln
2025-00036724,6900 block of Preinkert Dr
2025-00036749,8000 block of Boteler Ln
2025-00036917,8200 block of Paint Branch Dr
2025-00036977,5600 block of Rivertech Ct
2025-00037069,4200 block of Valley Dr
2025-00037132,7500 block of Baltimore Ave
2025-00037198,8000 block of Regents Dr
2025-00037316,Lot 4B
2025-00037338,8300 block of Baltimore Ave
2025-00038021,6900 block of Preinkert Dr
2025-00038424,3400 block of Tulane Dr
2025-00038701,Stadium Dr
2025-00038942,4100 block of Campus Dr
2025-00039024,"Lot J1, Police Impound Lot"
2025-00039321,8000 block of Hagerstown Dr
2025-00039402,4100 block of Campus Dr
2025-00040031,Anacostia Building at 1 Physics Ellipse
2025-00040057,3900 block of Campus Dr
2025-00040066,7800 block of Regents Dr
2025-00040079,3800 block of Campus Dr
2025-00040080,7600 block of Library Ln
2025-00040297,Baltimore Ave
2025-00040300,Paint Branch Dr
2025-00040353,3900 block of Campus Dr
2025-00040860,4200 block of Farm Dr
2025-00041256,4600 block of Hotel Dr
2025-00041383,3900 block of Campus Dr
2025-00041519,8000 block of La Plata Dr
2025-00041574,8500 block of Boteler Ln
2025-00041582,Lot F
2025-00042138,4100 block of Valley Dr
2025-00042198,4100 block of Valley Dr
2025-00042313,7000 block of Preinkert Dr
2025-00042392,4500 block of Knox Rd
2025-00042441,Baltimore Ave
2025-00042461,8000 block of Boteler Ln
2025-00042477,University Blvd
2025-00042479,7000 block of Preinkert Dr
2025-00042618,7600 block of Regents Dr
2025-00042979,7300 block of Baltimore Ave
2025-00043005,3900 block of Denton Service Ln
2025-00043099,4100 block of Union Ln
2025-00043130,3900 block of Campus Dr
2025-00043762,4100 block of Valley Dr
2025-00043881,8400 block of Boteler Ln
2025-00043946,7500 block of Yale Ave
2025-00043976,7300 block of Baltimore Ave
2025-00043989,"Capital One Field, Football Stadium, SECU Stadium"
2025-00044377,4100 block of Stadium Dr
2025-00044667,3800 block of Stadium Dr
2025-00044755,7600 block of Library Ln
2025-00046715,3900 block of Campus Dr
2025-00045294,8100 block of Baltimore Ave
2025-00045865,Lot 4B
2025-00045881,4300 block of Knox Rd
2025-00045959,8000 block of Hagerstown Dr
2025-00045960,8500 block of Paint Branch Dr
2025-00045965,8500 block of Paint Branch Dr
2025-00045966,8500 block of Paint Branch Dr
2025-00045991,3400 block of Tulane Dr
2025-00046719,8200 block of Alumni Dr
2025-00046744,5200 block of Greenbelt Rd
2025-00046751,4000 block of Stadium Dr
2025-00046753,4500 block of Knox Rd
2025-00046774,4400 block of Rossborough Ln
2025-00046815,3900 block of Campus Dr
2025-00046855,4000 block of Stadium Dr
2025-00046877,4100 block of Terrapin Trl
2025-00046975,4100 block of Valley Dr
2025-00047908,Norwich Rd
2025-00047938,7200 block of Preinkert Dr
2025-00048205,8000 block of Regents Dr
2025-00048435,University Blvd
2025-00048476,4200 block of Valley Dr
2025-00048493,Paint Branch Dr
2025-00048535,University Blvd
2025-00048942,3900 block of Campus Dr
2025-00048947,3900 block of Campus Dr
2025-00048948,6900 block of Preinkert Dr
2025-00048950,4000 block of Stadium Dr
2025-00049152,4000 block of Stadium Dr
2025-00049840,4100 block of Stadium Dr
2025-00049856,4700 block of College Ave
2025-00049976,4000 block of Stadium Dr
2025-00050217,3800 block of Stadium Dr
2025-00050469,4300 block of Knox Rd
2025-00051537,Lot 3
2025-00051461,3400 block of Tulane Dr
2025-00051501,7700 block of Alumni Dr
2025-00051562,7500 block of Mowatt Ln
2025-00051731,8200 block of Alumni Dr
2025-00051732,8500 block of Paint Branch Dr
2025-00051813,8100 block of La Plata Dr
2025-00051936,College Ave
2025-00051961,Campus Dr
2025-00052186,4100 block of Stadium Dr
2025-00052444,7500 block of Baltimore Ave
2025-00052472,E/b Route 50 / Rt 3 Rowe Blvd
2025-00052614,3900 block of Campus Dr
2025-00052664,7700 block of Adelphi Rd
2025-00052831,7500 block of Baltimore Ave
2025-00052857,Knox Rd
2025-00053450,9900 block of 51st Ave
2025-00053491,3900 block of Campus Dr
2025-00053600,7000 block of Preinkert Dr
2025-00053640,7500 block of Baltimore Ave
2025-00053767,Princeton Ave
2025-00053791,College Ave
2025-00053804,University Blvd
2025-00053817,College Ave
2025-00053839,Princeton Ave
2025-00053861,7600 block of Regents Dr
2025-00053874,University Blvd
2025-00053978,"Alpha Sigma Phi, Frat 9 at 9 Fraternity Row"
2025-00054604,2800 block of Metzerott Rd
2025-00054631,Lot 1b
2025-00054687,8200 block of Paint Branch Dr
2025-00054695,8200 block of Paint Branch Dr
2025-00055173,7500 block of Regents Dr
2025-00055239,7400 block of Princeton Ave
2025-00055243,7300 block of Baltimore Ave
2025-00055246,8300 block of Baltimore Ave
2025-00055583,8100 block of 48th Ave
2025-00055613,4200 block of Lehigh Rd
2025-00055611,University Blvd
2025-00055619,8500 block of Paint Branch Dr
2025-00055860,4100 block of Valley Dr
2025-00055865,4300 block of Knox Rd
2025-00055890,300 block of Ehrensberger Dr
2025-00055892,8100 block of Baltimore Ave
2025-00055923,7300 block of Preinkert Dr
2025-00055952,3900 block of Denton Service Ln
2025-00056097,Baltimore Ave
2025-00056100,Knox Rd
2025-00056743,4100 block of Valley Dr
2025-00056851,3800 block of Stadium Dr
2025-00056878,6900 block of Preinkert Dr
2025-00056880,4200 block of Farm Dr
2025-00056881,4100 block of Valley Dr
2025-00057407,6800 block of Preinkert Dr
2025-00057919,4700 block of College Ave
2025-00058442,4100 block of Library Ln
2025-00058444,4200 block of Farm Dr
2025-00058502,3900 block of Campus Dr
2025-00058664,3900 block of Denton Service Ln
2025-00058724,4100 block of Stadium Dr
2025-00059503,7500 block of Baltimore Ave
2025-00059660,3400 block of Tulane Dr
2025-00059742,8900 block of Paint Branch Dr
2025-00059837,University Blvd
2025-00060088,4100 block of Campus Dr
2025-00060114,8100 block of Baltimore Ave
2025-00060134,8400 block of Baltimore Ave
2025-00060177,3900 block of Campus Dr
2025-00060180,8100 block of Chemistry Ln
2025-00060203,7600 block of Mowatt Ln
2025-00060244,Chapel Field
2025-00060297,3900 block of Campus Dr
2025-00060392,7600 block of Preinkert Dr
2025-00060971,4500 block of College Ave
2025-00060977,4100 block of Campus Dr
2025-00060978,4200 block of Chapel Ln
2025-00060982,3800 block of Campus Dr
2025-00060996,5800 block of University Research Ct
2025-00060997,I-95 South / Powder Mill Rd
2025-00061029,Anacostia Building at 1 Physics Ellipse
2025-00061189,8500 block of Paint Branch Dr
2025-00061289,4200 block of Stadium Dr
2025-00061631,8100 block of Baltimore Ave
2025-00062305,3900 block of Campus Dr
2025-00062458,Baltimore Ave
2025-00062473,University Blvd
2025-00062485,4100 block of Terrapin Trl
2025-00062571,University Blvd
2025-00063012,4300 block of Knox Rd
2025-00063172,7500 block of Mowatt Ln
2025-00063422,Stanley R. Zupnick Hall at 8184 Paint Branch Dr
2025-00063612,University Blvd
2025-00063613,Adelphi Rd
2025-00063978,7500 block of Baltimore Ave
2025-00064495,University Blvd
2025-00065844,7300 block of Baltimore Ave
2025-00065907,4300 block of Rowalt Dr
2025-00066919,4400 block of Stadium Dr
2025-00066947,300 block of Ehrensberger Dr
2025-00067647,8100 block of Baltimore Ave
2025-00067822,8200 block of Paint Branch Dr
2025-00068063,6900 block of Preinkert Dr
2025-00068258,University Blvd
2025-00068634,"Capital One Field, Football Stadium, SECU Stadium"
2025-00068716,8500 block of Paint Branch Dr
2025-00068759,8500 block of Paint Branch Dr
2025-00068923,4300 block of Rowalt Dr
2025-00069101,Baltimore Ave
2025-00069295,Baltimore Ave
2025-00069631,4300 block of Knox Rd
2025-00069654,7500 block of Baltimore Ave
2025-00069660,7500 block of Dartmouth Ave
2025-00069958,7500 block of Yale Ave
2025-00070338,8100 block of Paint Branch Dr
2025-00070830,Stadium Dr
2025-00070852,4200 block of Campus Dr
2025-00071091,Adelphi Rd
2025-00071325,3900 block of Campus Dr
2025-00071346,Lot 3
2025-00071731,4300 block of Knox Rd
2025-00071927,Baltimore Ave
2025-00071969,8000 block of Hagerstown Dr
2025-00072307,3900 block of Campus Dr
2025-00072412,Paint Branch Dr
2025-00072528,4200 block of Campus Dr
2025-00072563,7300 block of Baltimore Ave
2025-00073400,3400 block of Tulane Dr
2025-00073413,8200 block of Baltimore Ave
2025-00073568,7500 block of Baltimore Ave
2025-00074322,7600 block of Library Ln
2025-00074376,7500 block of Baltimore Ave
2025-00074584,7500 block of Baltimore Ave
2025-00074974,8900 block of Paint Branch Dr
2025-00075184,8000 block of Hagerstown Dr
2025-00075592,8100 block of Baltimore Ave
2025-00075610,"Frat 7, Lambda Chi Alpha Fraternity at 7 Fraternity Row"
2025-00075652,4200 block of Knox Rd
2025-00076003,College Ave
2025-00076093,4500 block of College Ave
2025-00076110,4200 block of Valley Dr
2025-00076179,6900 block of Preinkert Dr
2025-00076393,Campus Dr
2025-00076535,8200 block of Alumni Dr
2025-00076614,4100 block of Valley Dr
2025-00076804,"Recreation Artificial Turf Field, Turf Field, Turf Fields"
2025-00076864,4000 block of Stadium Dr
2025-00076996,3800 block of Stadium Dr
2025-00077001,8000 block of La Plata Dr
2025-00077101,7400 block of Princeton Ave
2025-00077251,7500 block of Baltimore Ave
2025-00077453,3900 block of Campus Dr
2025-00077484,3900 block of Denton Service Ln
2025-00077969,7500 block of Baltimore Ave
2025-00078127,4300 block of Knox Rd
2025-00078130,Lot 11b
2025-00078387,7400 block of Baltimore Ave
2025-00078509,Lot 2a
2025-00078623,4300 block of Knox Rd
2025-00078637,4200 block of Valley Dr
2025-00078971,3900 block of Denton Service Ln
2025-00079231,3900 block of Denton Service Ln
2025-00079548,7100 block of Preinkert Dr
2025-00079658,Adelphi Rd
2025-00079989,Regents Dr
2025-00080046,7000 block of 52nd Ave
2025-00080092,3900 block of Denton Service Ln
2025-00080176,7300 block of Preinkert Dr
2025-00080328,Baltimore Ave
2025-00080349,7600 block of Preinkert Dr
2025-00080612,Stanley R. Zupnick Hall at 8184 Paint Branch Dr
2025-00080744,8100 block of Regents Dr
2025-00081086,7500 block of Baltimore Ave
2025-00081115,7600 block of Baltimore Ave
2025-00081140,4400 block of Rossborough Ln
2025-00081626,7000 block of Preinkert Dr
2025-00081667,7500 block of Regents Dr
2025-00081673,4300 block of Knox Rd
2025-00081687,3400 block of Tulane Dr
2025-00081792,7500 block of Regents Dr
2025-00082119,4200 block of Knox Rd
2025-00082756,University Blvd
2025-00082991,Knox Rd
2025-00083163,5000 block of Berwyn Rd
2025-00083754,4200 block of Valley Dr
2025-00083861,4100 block of Stadium Dr
2025-00083884,4000 block of Stadium Dr
2025-00083966,7800 block of Regents Dr
2025-00084036,4100 block of Valley Dr
2025-00084037,7300 block of Baltimore Ave
2025-00084067,8100 block of La Plata Dr
2025-00084331,3400 block of Tulane Dr
2025-00084478,4200 block of Lehigh Rd
2025-00084553,8200 block of Paint Branch Dr
2025-00084671,4200 block of Chapel Ln
2025-00085088,University Blvd
2025-00085391,3900 block of Campus Dr
2025-00085451,3900 block of Campus Dr
2025-00085704,8100 block of La Plata Dr
2025-00085722,3900 block of Campus Dr
2025-00086199,3900 block of Campus Dr
2025-00086259,4200 block of Fieldhouse Dr
2025-00086517,3900 block of Campus Dr
2025-00086523,7000 block of Preinkert Dr
2025-00086524,4100 block of Valley Dr
2025-00086525,4200 block of Valley Dr
2025-00086757,7300 block of Preinkert Dr
2025-00087342,4100 block of Campus Dr
2025-00087720,University Blvd
2025-00087817,Knox Rd
2025-00087819,7500 block of Mowatt Ln
2025-00087823,3900 block of Denton Service Ln
2025-00088127,4300 block of Campus Dr
2025-00088131,3400 block of Tulane Dr
2025-00088311,Campus Dr
2025-00088477,7000 block of Preinkert Dr
2025-00088597,7900 block of Regents Dr
2025-00088755,4200 block of Knox Rd
2025-00088914,7500 block of Mowatt Ln
2025-00089054,Adelphi Rd
2025-00089366,7600 block of Library Ln
2025-00089554,7500 block of Mowatt Ln
2025-00089684,4200 block of Lehigh Rd
2025-00090363,7600 block of Mowatt Ln
2025-00090428,909 at 8204 Baltimore Ave
2025-00090443,3900 block of Denton Service Ln
2025-00091138,8100 block of Baltimore Ave
2025-00091284,4100 block of Union Ln
2025-00091420,4300 block of Campus Dr
2025-00091566,4100 block of Campus Dr
2025-00091610,4100 block of Union Ln
2025-00091680,15000 block of Ridge Chase Ct
2025-00091837,4000 block of Stadium Dr
2025-00092001,7400 block of Dartmouth Ave
2025-00092030,3900 block of Campus Dr
2025-00092328,8000 block of La Plata Dr
2025-00092336,8000 block of La Plata Dr
2025-00092374,4200 block of Valley Dr
2025-00092382,4100 block of Valley Dr
2025-00092740,8000 block of La Plata Dr
2025-00093059,"Frat 5, Phi Kappa Tau Fraternity at 5 Fraternity Row"
2025-00093173,7000 block of Preinkert Dr
2025-00093187,4200 block of Chapel Ln
2025-00093198,4300 block of Knox Rd
2025-00093203,Frat Row
2025-00093217,9600 Gudelseky Dr
2025-00093443,"Capital One Field, Football Stadium, SECU Stadium"
2025-00093562,4100 block of Stadium Dr
2025-00093698,4200 block of Knox Rd
2025-00093853,4200 block of Knox Rd
2025-00093875,8600 block of Baltimore Ave
2025-00094424,3900 block of Denton Service Ln
2025-00094448,Baltimore Ave
2025-00094670,University Blvd
2025-00094724,4400 block of Lehigh Rd
2025-00094748,3900 block of Campus Dr
2025-00094806,6800 block of Preinkert Dr
2025-00095682,4100 block of Stadium Dr
2025-00095828,I-495/exit 22
2025-00095896,8000 block of Regents Dr
2025-00095938,8100 block of Paint Branch Dr
2025-00095953,Lot W
2025-00096125,"Frat 5, Phi Kappa Tau Fraternity at 5 Fraternity Row"
2025-00096190,7500 block of Yale Ave
2025-00096546,8000 block of Regents Dr
2025-00096793,4300 block of Knox Rd
2025-00096827,4100 block of Valley Dr
2025-00096942,8100 block of Paint Branch Dr
2025-00097056,Campus Dr
2025-00097526,7400 block of Preinkert Dr
2025-00097535,Lot SS1
2025-00097620,3800 block of Stadium Dr
2025-00097621,Lot 1b
2025-00097658,8700 block of Baltimore Ave
2025-00098080,I95 N/b After Ft. Mchenry Tunnel (exit 53)
2025-00098155,8200 block of Paint Branch Dr
2025-00098233,University Blvd
2025-00098269,8100 block of Baltimore Ave
2025-00098272,4100 block of Stadium Dr
2025-00098347,300 block of Ehrensberger Dr
2025-00098368,3900 block of Denton Service Ln
2025-00098409,Rhode Island Ave
2025-00098457,4200 block of Valley Dr
2025-00098684,4400 block of Lehigh Rd
2025-00098732,3500 block of University Blvd
2025-00098890,7500 block of Mowatt Ln
2025-00098893,4200 block of Farm Dr
2025-00099162,4200 block of Stadium Dr
2025-00099163,3800 block of Golf Course Rd
2025-00099225,7600 block of Regents Dr
2025-00099236,7800 block of Alumni Dr
2025-00099247,4000 block of Fieldhouse Dr
2025-00099271,4200 block of Farm Dr
2025-00099368,7500 block of Regents Dr
2025-00099506,Rhode Island Ave
2025-00099695,McKeldin Mall
2025-00099699,"Capital One Field, Football Stadium, SECU Stadium"
2025-00099965,5200 block of Greenbelt Rd
2025-00100182,Adelphi Rd
2025-00100265,Baltimore Ave
2025-00100382,7400 block of Baltimore Ave
2025-00100722,Baltimore Ave
2025-00100811,4700 block of Rossborough Ln
2025-00101403,300 block of Ehrensberger Dr
2025-00101651,Rhode Island Ave
2025-00101817,8200 block of Alumni Dr
2025-00101838,4900 block of Lakeland Rd
2025-00101864,4100 block of Valley Dr
2025-00101901,8100 block of 48th Ave
2025-00101945,Calvert Rd
2025-00101957,3900 block of Campus Dr
2025-00102615,3900 block of Campus Dr
2025-00102618,3900 block of Campus Dr
2025-00102932,4100 block of Stadium Dr
2025-00103112,4300 block of Knox Rd
2025-00103152,4300 block of Hartwick Rd
2025-00103289,4000 block of Stadium Dr
2025-00103312,3900 block of Denton Service Ln
2025-00103632,8600 block of Boteler Ln
2025-00103935,8100 block of Boteler Ln
2025-00103968,University Blvd
2025-00104283,4100 block of Valley Dr
2025-00104308,7800 block of Regents Dr
2025-00104311,4100 block of Stadium Dr
2025-00104347,4300 block of Rowalt Dr
2025-00104439,4200 block of Farm Dr
2025-00104486,7500 block of Baltimore Ave
2025-00104999,7500 block of Baltimore Ave
2025-00105141,8500 block of Boteler Ln
2025-00105604,4100 block of Stadium Dr
2025-00105675,5100 block of Campus Dr
2025-00105793,LaPlata Beach
2025-00105875,UMGC Hotel at 348 Ehrensberger Dr
2025-00105999,8000 block of Hagerstown Dr
2025-00106065,Stadium Dr
2025-00106071,8200 block of Paint Branch Dr
2025-00106278,7800 block of Alumni Dr
2025-00106317,815 at 7401 Baltimore Ave
2025-00106359,University Blvd
2025-00106385,6900 block of Preinkert Dr
2025-00106430,6901 Preinkert Ct
2025-00106457,7700 block of Alumni Dr
2025-00107111,Metzerott Rd
2025-00107118,3800 block of Stadium Dr
2025-00107590,4100 block of Stadium Dr
2025-00107692,5800 block of University Research Ct
2025-00108026,4300 block of Campus Dr
2025-00108070,3800 block of Stadium Dr
2025-00108443,7300 block of Baltimore Ave
2025-00108490,4600 block of Knox Rd
2025-00108500,7300 block of Preinkert Dr
2025-00108882,McKeldin Mall
2025-00108912,Knox Rd
2025-00109085,Paint Branch Dr
2025-00109272,4100 block of Campus Dr
2025-00109281,4600 block of Norwich Rd
2025-00109357,7000 block of Preinkert Dr
2025-00109382,3900 block of Campus Dr
2025-00109386,7000 block of Preinkert Dr
2025-00109409,4100 block of Campus Dr
2025-00109421,3800 block of Stadium Dr
2025-00109423,4200 block of Valley Dr
2025-00109468,3700 block of Campus Dr
2025-00109568,3900 block of Denton Service Ln
