UMPD Case Number,Address
2022-00020618,Adelphi Rd
2022-00020807,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2022-00021004,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
2022-00021005,4700 block of College Ave
2022-00021050,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
2022-00021334,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2022-00021355,"8, Annapolis, Annapolis Hall at 7626 Regents Dr"
2022-00021372,University Blvd
2022-00021404,201 Valley Brook Dr
2022-00021724,4200 block of Chapel Ln
2022-00021729,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00021738,Hagerstown Hall at 8075 Hagerstown Dr
2022-00021993,Health Center at 3983 Campus Dr
2022-00021995,4400 block of Rossborough Ln
2022-00021999,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2022-00022009,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2022-00022085,7400 block of Princeton Ave
2022-00022628,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00022850,University Blvd
2022-00022992,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00023047,8200 block of Baltimore Ave
2022-00023074,"40, Morrill Hall at 7313 Preinkert Dr"
2022-00023091,"Frat 2, Pi Kappa Alpha, Pi Kappa Alpha Fraternity at 2 Fraternity Row"
2022-00023119,University Blvd
2022-00023412,8400 block of Baltimore Ave
2022-00023550,7600 block of Library Ln
2022-00023585,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
2022-00023889,"14, Harford Hall at 7660 Regents Dr"
2022-00023902,Lot 11b
2022-00023928,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2022-00024045,4200 block of Valley Dr
2022-00024132,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2022-00024156,University Blvd
2022-00024171,4100 block of Valley Dr
2022-00024185,Health Center at 3983 Campus Dr
2022-00024217,Baltimore Ave
2022-00024366,7600 block of Regents Dr
2022-00024490,"36, Plant Sciences Building at 4291 Fieldhouse Dr"
2022-00024510,Hagerstown Hall at 8075 Hagerstown Dr
2022-00024527,"Marathon, Marathon Deli at 7412 Baltimore Ave"
2022-00024721,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2022-00024724,4200 block of Farm Dr
